Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes
PAPER,YZINV,CAD,0,2021-09-28,Cash,0,0,9999-12-31,"-10,000.00",Invest - FX Conversion
PAPER,YZINV,USD,0,2021-09-28,Cash,0,0,9999-12-31,"7,774.10",Invest - FX Conversion
PAPER,YZINV,CAD,0,2021-09-28,Cash,0,0,9999-12-31,"10,000.00",Invest - Pre Convert
LOC,LOC,CAD,0,2021-09-28,LOC,0,0,9999-12-31,"96,008.00",LOC - Assumed Starting Balance
PAPER,YZINV,CAD,0,2021-10-01,Cash,0,0,9999-12-31,"-20,000.00",Invest - FX Conversion
PAPER,YZINV,USD,0,2021-10-01,Cash,0,0,9999-12-31,"15,618.90",Invest - FX Conversion
PAPER,YZINV,CAD,0,2021-10-01,Cash,0,0,9999-12-31,"20,000.00",Invest - Pre Convert
PAPER,FAZ,USD,1,2021-10-04,Call,100,20,2022-01-21,373.79,
PAPER,PYPL,USD,0.3,2021-10-07,Put,100,260,2021-11-05,983.79,
PAPER,MSFT,USD,0.3,2021-10-18,Put,100,305,2021-11-19,818.79,
PAPER,PYPL,USD,0.3,2021-10-25,Put,-100,260,2021-11-05,"-2,033.20",
PAPER,PYPL,USD,0.3,2021-10-25,Put,100,260,2022-01-21,"2,648.78",
LOC,LOC,CAD,0,2021-10-28,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,MSFT,USD,0.3,2021-11-05,Put,-100,305,2021-11-19,-44.2,
PAPER,MSFT,USD,0.3,2021-11-05,Put,100,340,2021-12-17,"1,133.79",
LOC,LOC,CAD,0,2021-11-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2021-12-06,Cash,0,0,9999-12-31,"3,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2021-12-16,Put,-100,340,2021-12-17,"-1,411.20",
PAPER,MSFT,USD,0.3,2021-12-16,Put,100,340,2022-02-18,"2,323.78",
LOC,LOC,CAD,0,2021-12-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-01-18,Cash,0,0,9999-12-31,"5,000.00",Invest - Pre Convert
PAPER,PYPL,USD,0.3,2022-01-21,Put,-100,260,2022-01-21,"-9,539.20",
PAPER,FAZ,USD,1,2022-01-21,Call,-100,20,2022-01-21,-208.16,
PAPER,PYPL,USD,0.3,2022-01-24,Put,100,260,2022-07-15,"9,596.75",
LOC,LOC,CAD,0,2022-01-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-01-26,Call,100,16,2022-04-16,303.79,
PAPER,PYPL,USD,0.3,2022-02-04,Put,-100,260,2022-07-15,0,
PAPER,PYPL,USD,0.3,2022-02-04,Stk,100,0,9999-12-31,"-26,008.20",
PAPER,YZINV,CAD,0,2022-02-16,Cash,0,0,9999-12-31,"10,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2022-02-18,Put,-100,340,2022-02-18,"-4,953.20",
PAPER,MSFT,USD,0.3,2022-02-18,Put,100,340,2022-08-19,"5,564.77",
PAPER,PYPL,USD,0.3,2022-02-22,Call,100,155,2022-07-15,143.79,
LOC,LOC,CAD,0,2022-02-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2022-03-27,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-04-16,Call,-100,16,2022-04-16,-473.2,
PAPER,FAZ,USD,1,2022-04-18,Call,100,16,2022-06-17,480.79,
LOC,LOC,CAD,0,2022-04-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-04-28,Cash,0,0,9999-12-31,"2,000.00",Invest - Pre Convert
LOC,LOC,CAD,0,2022-05-26,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,YZINV,CAD,0,2022-06-15,Cash,0,0,9999-12-31,"5,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2022-06-16,Put,-100,340,2022-08-19,"-9,094.72",
PAPER,MSFT,USD,0.3,2022-06-16,Put,100,340,2023-09-15,"9,333.58",
PAPER,FAZ,USD,1,2022-06-17,Call,-100,16,2022-06-17,"-1,622.20",
PAPER,FAZ,USD,1,2022-06-21,Call,100,16,2022-10-21,"1,618.76",
LOC,LOC,CAD,0,2022-06-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2022-07-15,Call,-100,155,2022-07-15,0,
LOC,LOC,CAD,0,2022-07-25,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2022-08-24,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2022-09-15,Call,100,130,2022-11-18,86.79,
LOC,LOC,CAD,0,2022-09-23,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2022-10-05,Call,-100,16,2022-10-21,-891.2,
PAPER,FAZ,USD,1,2022-10-05,Call,100,16,2023-06-16,999.77,
LOC,LOC,CAD,0,2022-10-23,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2022-11-18,Call,-100,130,2022-11-18,0,
LOC,LOC,CAD,0,2022-11-22,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,MSFT,USD,0.3,2022-11-25,Put,-100,340,2023-09-15,"-9,264.68",
PAPER,MSFT,USD,0.3,2022-11-25,Put,100,340,2023-09-15,"9,178.58",
PAPER,MSFT,USD,0.3,2022-11-25,Put,-100,340,2023-09-15,"-9,893.71",
PAPER,MSFT,USD,0.3,2022-11-30,Put,100,340,2023-09-15,"9,893.57",
PAPER,MSFT,USD,0.3,2022-12-07,Put,-100,340,2023-09-15,"-9,522.72",
PAPER,MSFT,USD,0.3,2022-12-07,Put,100,340,2023-09-15,"9,523.58",
PAPER,MSFT,USD,0.3,2022-12-08,Put,-100,340,2023-09-15,"-9,453.72",
PAPER,YZINV,CAD,0,2022-12-09,Cash,0,0,9999-12-31,"10,000.00",Invest - Pre Convert
PAPER,MSFT,USD,0.3,2022-12-12,Put,200,300,2023-03-17,"10,992.29",
PAPER,MSFT,USD,0.3,2022-12-21,Put,-200,300,2023-03-17,"-12,015.50",
PAPER,MSFT,USD,0.3,2022-12-21,Put,200,300,2023-06-16,"12,292.26",
PAPER,PYPL,USD,0.3,2022-12-21,Call,100,85,2023-03-17,178.79,
LOC,LOC,CAD,0,2022-12-22,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,MSFT,USD,0.3,2023-01-09,Put,-200,300,2023-06-16,"-13,935.46",
PAPER,MSFT,USD,0.3,2023-01-09,Put,200,300,2023-06-16,"13,932.23",
PAPER,YZINV,CAD,0,2023-01-10,Cash,0,0,9999-12-31,"-20,000.00",Invest - FX Conversion
PAPER,YZINV,USD,0,2023-01-10,Cash,0,0,9999-12-31,"14,687.89",Invest - FX Conversion
PAPER,MSFT,USD,0.3,2023-01-11,Put,-200,300,2023-06-16,"-14,237.45",
PAPER,MSFT,USD,0.3,2023-01-11,Put,200,300,2023-06-16,"14,242.22",
PAPER,Other,USD,0,2023-01-16,Int / Tax,0,0,2023-01-16,-35.66,Operational Loss - Negative balance due to bad MSFT management
LOC,LOC,CAD,0,2023-01-21,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2023-02-20,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2023-03-17,Call,-100,85,2023-03-17,0,
LOC,LOC,CAD,0,2023-03-22,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2023-03-30,Call,100,100,2023-09-15,138.79,
LOC,LOC,CAD,0,2023-04-21,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2023-05-21,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2023-05-30,Call,-100,16,2023-06-16,-646.2,
PAPER,FAZ,USD,1,2023-05-30,Call,100,16,2023-10-20,663.79,
PAPER,MSFT,USD,0.3,2023-06-16,Put,-200,300,2023-06-16,0,
LOC,LOC,CAD,0,2023-06-20,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,Other,USD,0,2023-06-20,Int / Tax,0,0,2023-06-20,-40.8,Operational Loss - Withholding Tax? Wtf is this?
PAPER,PG,USD,0.3,2023-06-26,Put,100,150,2023-08-18,428.79,
PAPER,WMT,USD,0.3,2023-06-26,Put,100,160,2023-08-18,583.79,
PAPER,CASH.TO,CAD,0.3,2023-07-17,Stk,299,0,9999-12-31,"-14,992.82",
PAPER,PSU.U,USD,0.3,2023-07-17,Stk,231,0,9999-12-31,"-23,171.96",
LOC,LOC,CAD,0,2023-07-20,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,AMZN,USD,0.3,2023-07-24,Put,200,135,2023-10-20,"2,062.53",
PAPER,Other,CAD,0.3,2023-08-08,Div,0,0,9999-12-31,66.08,Dividends - CASH.TO
PAPER,Other,USD,0.3,2023-08-08,Div,0,0,9999-12-31,97.02,Dividends - PSU.U
PAPER,WMT,USD,0.3,2023-08-17,Put,-100,160,2023-08-18,-324.2,
PAPER,WMT,USD,0.3,2023-08-17,Put,100,160,2023-09-15,411.79,
PAPER,PG,USD,0.3,2023-08-18,Put,-100,150,2023-08-18,0,
LOC,LOC,CAD,0,2023-08-19,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,WMT,USD,0.3,2023-08-21,Put,100,160,2023-09-15,333.79,
PAPER,Other,CAD,0.3,2023-09-08,Div,0,0,9999-12-31,67.28,Dividends - CASH.TO
PAPER,Other,USD,0.3,2023-09-08,Div,0,0,9999-12-31,115.82,Dividends - PSU.U
PAPER,WMT,USD,0.3,2023-09-12,Put,-200,160,2023-09-15,-25.45,
PAPER,AMZN,USD,0.3,2023-09-12,Put,200,145,2023-11-17,"1,802.53",
PAPER,AAPL,USD,0.3,2023-09-12,Put,100,180,2023-10-20,593.79,
PAPER,PG,USD,0.3,2023-09-14,Put,100,150,2023-10-20,168.79,
PAPER,PYPL,USD,0.3,2023-09-15,Call,-100,100,2023-09-15,0,
LOC,LOC,CAD,0,2023-09-18,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,PYPL,USD,0.3,2023-09-18,Cap Gains,0,0,9999-12-31,"-19,672.21","Massive Loss, Never Again"
PAPER,AAPL,USD,0.3,2023-09-18,Put,-100,180,2023-10-20,-426.2,
PAPER,PYPL,USD,0.3,2023-09-18,Stk,-100,0,9999-12-31,"26,008.20",
PAPER,BAC,USD,0.3,2023-09-18,Put,800,27.5,2023-10-20,273.04,
PAPER,PSU.U,USD,0.3,2023-09-27,Stk,-231,0,9999-12-31,"23,171.96",
PAPER,PSU.U,USD,0.3,2023-09-27,Cap Gains,0,0,9999-12-31,17.8,
PAPER,CASH.TO,CAD,0.3,2023-09-27,Stk,-299,0,9999-12-31,"14,992.82",
PAPER,CASH.TO,CAD,0.3,2023-09-27,Cap Gains,-299,0,9999-12-31,7.05,
PAPER,MSFT,USD,0.3,2023-09-28,Put,100,325,2023-10-20,"1,413.78",
PAPER,MSFT,USD,0.3,2023-09-28,Put,100,330,2023-10-20,"1,793.78",
PAPER,YZINV,CAD,0,2023-09-29,Cash,0,0,9999-12-31,"15,736.05",Invest - Pre Convert (CM Shares)
LOC,LOC,CAD,0,2023-10-18,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,MSFT,USD,0.3,2023-10-18,Put,-100,325,2023-10-20,-64.2,
PAPER,MSFT,USD,0.3,2023-10-18,Put,-100,330,2023-10-20,-163.2,
PAPER,AMZN,USD,0.3,2023-10-19,Put,-200,135,2023-10-20,"-1,211.45",
PAPER,AMZN,USD,0.3,2023-10-19,Put,200,135,2023-11-17,"1,832.53",
PAPER,PG,USD,0.3,2023-10-19,Put,-100,150,2023-10-20,-179.2,
PAPER,PG,USD,0.3,2023-10-19,Put,100,150,2023-11-17,310.79,
PAPER,FAZ,USD,1,2023-10-19,Call,-100,16,2023-10-20,-426.2,
PAPER,FAZ,USD,1,2023-10-19,Call,100,16,2024-01-19,443.79,
PAPER,BAC,USD,0.3,2023-10-20,Put,-800,27.5,2023-10-20,-942.95,
PAPER,BAC,USD,0.3,2023-10-20,Put,800,28,2023-11-17,"1,441.03",
PAPER,WMT,USD,0.3,2023-10-20,Put,200,160,2023-11-17,742.54,
PAPER,GOOG,USD,0.3,2023-10-25,Put,300,135,2023-11-17,"2,211.28",
PAPER,Other,CAD,0.3,2023-10-27,Div,0,0,9999-12-31,258.39,Dividends - CM
PAPER,AMZN,USD,0.3,2023-11-06,Put,-200,135,2023-11-17,-183.45,
PAPER,LOW,USD,0.3,2023-11-06,Put,200,190,2023-12-15,"1,052.53",
PAPER,CSX,USD,0.3,2023-11-06,Put,500,30,2023-12-15,338.79,
PAPER,GOOG,USD,0.3,2023-11-16,Put,-300,135,2023-11-17,-29.7,
PAPER,EL,USD,0.3,2023-11-16,Put,200,125,2023-12-15,"1,172.54",
PAPER,DG,USD,0.3,2023-11-16,Put,200,120,2023-12-15,"1,414.53",
LOC,LOC,CAD,0,2023-11-17,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,FAZ,USD,1,2023-11-17,Call,-100,16,2024-01-19,-176.2,
PAPER,PG,USD,0.3,2023-11-17,Put,-100,150,2023-11-17,0,
PAPER,BAC,USD,0.3,2023-11-17,Put,-800,28,2023-11-17,0,
PAPER,WMT,USD,0.3,2023-11-17,Put,-200,160,2023-11-17,-759.45,
PAPER,WMT,USD,0.3,2023-11-17,Put,200,160,2023-12-15,952.54,
PAPER,AMZN,USD,0.3,2023-11-17,Put,-200,145,2023-11-17,-147.45,
PAPER,ENPH,USD,0.3,2023-11-21,Put,300,100,2023-12-15,"1,746.28",
PAPER,ALB,USD,0.3,2023-11-27,Put,200,120,2023-12-15,892.54,
PAPER,LOW,USD,0.3,2023-12-01,Put,-200,190,2023-12-15,-97.45,
PAPER,CSX,USD,0.3,2023-12-01,Put,-500,30,2023-12-15,-36.2,
PAPER,GOOG,USD,0.3,2023-12-01,Put,300,135,2023-12-15,"1,026.29",
PAPER,GOOG,USD,0.3,2023-12-04,Put,200,135,2023-12-15,992.54,
PAPER,EL,USD,0.3,2023-12-04,Put,-200,125,2023-12-15,-77.45,
PAPER,AMZN,USD,0.3,2023-12-04,Put,200,145,2023-12-15,492.54,
PAPER,DG,USD,0.3,2023-12-08,Put,-200,120,2023-12-15,-27.45,
PAPER,WMT,USD,0.3,2023-12-08,Put,-200,160,2023-12-15,"-1,737.65",
PAPER,WMT,USD,0.3,2023-12-08,Put,200,160,2024-02-16,"1,752.53",
PAPER,ISRG,USD,0.3,2023-12-08,Put,100,310,2024-01-19,"1,093.79",
PAPER,ENPH,USD,0.3,2023-12-14,Put,-300,100,2023-12-15,-32.7,
PAPER,AMZN,USD,0.3,2023-12-14,Put,200,150,2024-01-19,992.54,
PAPER,DG,USD,0.3,2023-12-14,Put,200,130,2024-01-19,912.54,
PAPER,ALB,USD,0.3,2023-12-14,Put,-200,120,2023-12-15,0,
PAPER,AMZN,USD,0.3,2023-12-14,Put,-200,145,2023-12-15,0,
PAPER,GOOG,USD,0.3,2023-12-15,Put,-500,135,2023-12-15,-611.2,
PAPER,MSFT,USD,0.3,2023-12-15,Put,200,380,2024-01-19,"2,432.53",
LOC,LOC,CAD,0,2023-12-17,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,EL,USD,0.3,2023-12-18,Put,300,145,2024-01-19,"1,851.28",
PAPER,YZINV,CAD,0,2023-12-21,Cash,0,0,9999-12-31,"-31,134.85",Invest - FX Conversion
PAPER,YZINV,USD,0,2023-12-21,Cash,0,0,9999-12-31,"23,019.93",Invest - FX Conversion
LOC,LOC,CAD,0,2024-01-10,LOC,0,0,9999-12-31,"-21,389.83",LOC - Net Impacts Over Time
LOC,LOC,CAD,0,2024-01-10,LOC,0,0,9999-12-31,"-2,000.00",Short Term Juicing - LOC
PAPER,YZINV,CAD,0,2024-01-10,Cash,0,0,9999-12-31,"2,000.00",Short Term Juicing
PAPER,ISRG,USD,0.3,2024-01-10,Put,-100,310,2024-01-19,-11.2,
PAPER,NKE,USD,0.3,2024-01-10,Put,400,105,2024-02-16,"1,210.04",
LOC,LOC,CAD,0,2024-01-16,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
PAPER,EL,USD,0.3,2024-01-16,Put,-100,145,2024-01-19,"-1,968.26",
PAPER,EL,USD,0.3,2024-01-16,Put,100,145,2024-02-16,"2,093.78",
PAPER,MSFT,USD,0.3,2024-01-16,Put,-200,380,2024-01-19,-87.45,
PAPER,MKC,USD,0.3,2024-01-16,Put,"1,100",65,2024-02-16,"2,258.28",
PAPER,WMT,USD,0.3,2024-01-17,Put,-200,160,2024-02-16,-335.45,
PAPER,GOOG,USD,0.3,2024-01-17,Put,200,145,2024-02-16,"1,392.53",
PAPER,DG,USD,0.3,2024-01-17,Put,-200,130,2024-01-19,-33.45,
PAPER,AMZN,USD,0.3,2024-01-17,Put,200,155,2024-02-16,"1,572.53",
PAPER,EL,USD,0.3,2024-01-17,Put,-200,145,2024-01-19,"-4,013.45",
PAPER,EL,USD,0.3,2024-01-17,Put,200,145,2024-02-16,"4,198.51",
PAPER,AMZN,USD,0.3,2024-01-19,Put,-200,150,2024-01-19,-11.45,
PAPER,DG,USD,0.3,2024-01-19,Put,200,135,2024-02-16,"1,032.54",
LOC,LOC,CAD,0,2024-01-24,LOC,0,0,9999-12-31,"2,000.00",Short Term Juicing - LOC
PAPER,YZINV,CAD,0,2024-01-24,Cash,0,0,9999-12-31,"-2,000.00",Short Term Juicing
PAPER,GOOG,USD,0.3,2024-01-24,Put,-200,145,2024-02-16,-427.45,
PAPER,DG,USD,0.3,2024-01-24,Put,300,135,2024-02-16,"1,581.28",
PAPER,MKC,USD,0.3,2024-01-24,Put,"-1,100",65,2024-02-16,-370.7,
PAPER,CRWD,USD,0.3,2024-01-24,Put,200,300,2024-02-16,"2,442.53",
LOC,LOC,CAD,0,2024-01-31,LOC,0,0,9999-12-31,"-5,000.00",Short Term Juicing - LOC
